Date,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,MBB,MSN,MWG,PLX,POW,SAB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
2/1/21,14247,52629,30944,49475,24201,37948,70967,21758,11721,21338,11518,67148,40450,45572,11311,163102,15657,16100,32200,11677,59717,65065,12801,88001,125500,93123,11483,30000
2/2/21,14621,53604,31142,50585,25638,39442,72194,22429,12249,22534,12225,68785,41856,46700,11459,168759,16241,17150,34000,12133,63257,69560,13172,94135,129700,96478,12279,31950
2/3/21,15022,55066,32724,54099,26394,41832,75497,23963,12672,23369,12696,72798,41693,47452,12246,168759,17351,18000,35000,12852,64830,71623,13976,95557,131000,99470,13131,33100
2/4/21,15075,54578,32843,53729,26243,43326,76441,24394,12434,23257,12591,73289,42020,48203,12393,171681,17351,17600,35000,12708,64830,72507,13934,93335,130600,98654,13557,32600
2/5/21,15236,57210,33081,55486,27075,43566,76629,24634,12725,23647,12957,73371,42674,49049,12492,171493,18403,18300,36300,12804,65552,73170,14594,95557,131100,99380,13705,32700
2/8/21,14701,54481,31735,53082,25751,42609,74553,22956,12381,22757,12512,70096,42020,48861,11951,164045,17877,17400,35000,12564,61684,69781,14347,89779,124600,95481,13335,30900
2/9/21,15263,55553,32289,55394,26772,44581,76724,23052,12725,23257,12957,72634,42347,49801,12147,169890,18549,18150,36000,12876,63716,71328,14841,94401,129000,97929,14261,31550
2/17/21,15717,57015,33318,57243,27831,46554,82008,24634,13411,24176,13507,75336,45127,52338,12787,171021,19600,18750,38400,13283,65552,74423,15563,96001,131000,98564,15243,33750
2/18/21,15583,58282,34347,57243,27831,46733,85028,26311,13464,24398,13717,77875,45617,52713,12836,181486,19454,18600,38900,13355,66863,76044,15439,97779,131800,98836,15298,34850
2/19/21,16626,59159,34901,56873,27982,45777,83896,26934,13490,24176,14057,77711,44996,52807,12836,180732,19366,18700,38700,13283,66404,75970,15501,96890,131800,97929,15039,34500
2/22/21,16893,59452,34624,56503,27982,45896,83235,26790,13622,24148,13978,77465,44800,53747,12688,179129,19191,18600,38600,13379,65945,77960,15542,97512,131600,97476,15169,34150
2/23/21,16947,59452,34822,55949,28020,45119,84368,28660,13701,24092,14345,75910,44538,53371,12639,175358,19629,18800,39800,13403,65552,77592,15336,97779,134000,97022,15002,34400
2/24/21,16679,57502,34070,55209,28361,45060,83141,27605,13437,24259,14135,74517,43753,53841,12443,174698,19542,18350,39100,13140,64306,75749,15419,96179,131900,95934,14706,33700
2/25/21,17321,57015,33991,55116,28209,45538,84179,27701,13464,24565,14293,73371,44374,54875,12492,176772,19542,18500,39100,13116,64372,75749,15852,96801,135000,94846,14669,33750
2/26/21,17668,56040,34505,54654,28172,45538,84273,27653,13279,25372,14476,73944,44146,54687,12393,177244,19396,18350,39250,13211,64372,74865,16367,96890,135100,95027,14817,33200
3/1/21,17775,56040,34901,57151,28814,46554,86727,28276,13622,25706,14842,74763,44080,55438,12836,177055,20447,19100,40200,13427,65027,75897,17501,96446,136200,95753,15113,34250
3/2/21,17642,56430,34861,57151,28739,46554,85878,28660,14097,25984,14711,74436,44407,55063,12738,176202,20476,19150,40300,14266,65093,75749,17975,96179,137700,95118,15095,34700
3/3/21,17775,59452,34663,56688,29192,46434,85878,28372,14229,26039,14659,74108,44538,54969,12639,173731,20360,19000,40350,14266,64503,74791,17810,95023,137200,94755,15409,35500
3/4/21,17321,57015,33832,55486,28966,45358,85783,27557,13833,25539,14214,72388,43426,54311,12393,169169,19542,18350,39050,13739,63782,73686,17315,95023,136800,93758,15372,34550
3/5/21,17348,56723,33555,54561,28739,45358,87293,27845,13649,25594,14319,73043,43230,54499,13229,167744,19542,18700,39200,13667,63192,72507,17851,94490,136800,93395,15483,34550
3/8/21,17000,56528,33595,54654,28663,45299,89653,28180,13701,25761,14450,71570,42772,54875,13918,166318,19600,18600,38850,13667,62405,71623,17789,94223,136000,92670,15317,34450
3/9/21,17134,56430,33120,54469,28134,44821,88426,27509,13701,25511,14293,70996,41889,53183,13377,164417,19308,18550,38950,13619,62274,72360,17727,92712,134900,91128,15483,34100
3/10/21,17508,57405,33239,55116,28398,45597,86821,27797,13781,25372,14633,71242,42674,52432,13426,164702,19337,18700,39300,13643,62602,73612,17707,94223,135500,91672,15558,34150
3/11/21,17642,57502,34268,55949,28890,45836,87482,28276,13939,25817,14790,71488,43328,52244,13574,167268,19834,19300,40150,13715,63126,73686,17830,94135,136100,93214,16206,34350
3/12/21,17615,56235,34307,55949,28701,45717,85972,29618,14071,25845,14790,71488,42870,52244,13525,169169,19571,19200,40050,13715,62798,73612,17913,94135,135000,92670,16484,34650
3/15/21,17909,56820,34030,55579,28739,45717,85972,29043,14071,25873,15130,72470,43393,53653,13475,168219,19396,18900,40100,13763,63126,73539,18016,94223,135000,92670,16595,34450
3/16/21,17882,55845,33555,55116,28512,48406,85217,28228,14150,25650,14999,72061,43557,54311,13377,171640,19104,18900,39850,13667,62733,73318,17933,93690,134600,91582,16428,34800
3/17/21,17909,56040,34268,55116,29911,48287,87576,28468,14520,25761,15183,72061,43426,54311,13721,170310,19045,19600,40300,13763,62667,73170,18964,93068,133500,91128,16521,34850
3/18/21,18149,56430,35613,56134,30629,48406,86633,29426,14520,25928,15287,73453,43688,54217,13623,171640,19454,19700,41950,13907,63913,73465,18861,94757,134900,92942,16984,35000
3/19/21,18069,56430,35613,56411,30592,47689,85783,28755,14335,26234,15287,72634,43491,52901,13180,171070,19454,19600,42000,13859,61750,72065,18840,96357,130500,92216,16743,34000
3/22/21,17855,56333,35336,57521,31083,47032,85406,28468,14229,26012,14999,72143,43132,52620,13328,170120,19513,19200,41300,13811,63585,73170,18614,95379,132700,91400,16632,34600
3/23/21,17642,55943,34584,57058,30629,47091,86633,28132,13992,25928,14842,70833,42837,53747,13082,169169,19220,18800,40450,13571,62798,72728,18346,94668,131000,90856,16484,34150
